MUESTRA,TIPORESINA,ACTIVSÓNICA,Mtotal,Mdesadap,MPtotal,MPdesadap,Ptotal,Pdesadap,APtotal,Apdesadap,Atotal,Adesadap,AGtotal,Agdesadap,Gtotal,Pdesadap,peritotal,peridesap,porcdesap
40,2,2,"2205,44",0,"1291,34","72,61","606,25","127,42","509,38","56,13","1772,64","878,48","742,65","541,14","1005,74",0,"8133,44","1675,78","20,6035822481"
41,1,1,"1848,08","116,94","948,19","538,04","675,23",0,"290,96",0,"1314,02",0,"543,47",0,"1033,67",0,"6653,62","654,98","9,8439646388"
42,1,2,"1062,85",0,"495,54",0,"1144,42",0,"464,79","4,97","1018,11","147,79","713,62","16,02","1412,51",0,"6311,84","168,78","2,6740221552"
43,2,1,"1069,94","31,17","884,51","53,26","1070,95","46,45","344,18",0,"1287,77","142,73","958,08",0,"898,69","94,94","6514,12","368,55","5,6577097137"
44,2,2,"1733,37",0,"612,08",0,"1062,72","149,75","419,81",0,"1318,28","43,77","1226,32","1192,12",658,"25,48","7030,58","1411,12","20,0711747822"
45,1,1,"1625,22","23,76","673,52",0,"511,99",0,"362,3",0,"1532,96","135,39","1100,06","629,44","556,45","262,73","6362,5","1051,32","16,5236935167"
46,1,2,"2277,93","138,04","637,98",0,"629,32",0,"523,62",0,"1538,25","60,1","649,08","176,2","1289,87",0,"7546,05","374,34","4,96074105"
47,2,1,"1127,15","14,02","721,83",0,"1291,42",0,"754,03",0,"1272,4",0,"671,21","84,64","1387,43","282,11","7225,47","380,77","5,2698301979"
48,2,2,"968,49","16,89","963,29",0,"1116,67","64,2","432,18",0,"658,84",0,"918,09",0,"993,33",0,"6050,89","81,09","1,3401334349"
49,1,1,"1888,98",0,"679,68",0,"644,48",0,"481,64",0,"1453,97",0,"713,21","40,84","1217,03",0,"7078,99","40,84","0,5769184587"
50,1,2,"1509,65",0,"804,99","68,28","1034,24","9,16","358,72","16,53","805,63","16,9","1012,89","103,84","674,17",0,"6200,29","214,71","3,4629025417"
51,2,1,"1242,79","18,69","476,18","455,94","1001,7",0,"862,22",0,"677,61",0,"1021,02",0,"747,15",0,"6028,67","474,63","7,8728807515"
52,2,2,"1249,18","58,08","763,69","11,73","809,83",0,"581,39","23,46","750,1",0,"807,83","462,45","1070,88",0,"6032,9","555,72","9,211490328"
53,1,1,"1810,56","86,41","924,91",0,"678,03",0,"562,15","9,73","990,51",0,"878,62",0,"1102,5",0,"6947,28","96,14","1,383850946"
54,1,2,"1050,44","35,51","929,94","639,56","766,02","23,48","533,18","35,42","918,91","64,35","852,77","20,82","1149,11",0,"6200,37","819,14","13,2111470767"
55,2,1,"1780,68","77,22","992,83","97,38","714,92",0,"614,84",0,"979,51",0,"904,94","350,55","1317,39",0,"7305,11","525,15","7,188803454"
56,2,2,"1049,11","39,68","424,77","27,21","853,8","31,12","407,17",0,"1075,28","74,8","855,39",0,"1166,72","28,71","5832,24","201,52","3,4552761889"
57,1,1,"1861,75","195,68","700,3",0,"533,34",0,"641,38",0,"1555,08","20,97","669,49",0,"1380,03",0,"7341,37","216,65","2,951084062"
58,1,2,"1892,02","192,93","671,12",0,"1094,04","25,55","595,14","19,05","1114,78",0,"1148,15","446,66","1544,83","13,01","8060,08","697,2","8,650038213"
59,2,1,"1083,45",0,"696,57",0,"835,23",0,"645,29",0,"960,53","42,22","990,79","284,11","919,02","13,81","6130,88","340,14","5,5479800616"
60,2,2,"1403,85","118,55","908,69","127,08","897,38","126,97","398,53",0,"993,54","92,19","997,06","105,79","1162,63","45,95","6761,68","616,53","9,1180002603"
61,1,1,"1622,91","16,95","441,92",0,"551,45","33,35","418,45",0,"1065,75",0,"775,29","500,77","1327,06","105,48","6202,83","656,55","10,5846847326"
62,1,2,"1980,67",0,"926,21","570,6","719,74","38,12","484,89",0,"1262,95","174,85","632,42","235,73","1069,77","147,48","7076,65","1166,78","16,4877449075"
63,2,1,"1688,86",0,"615,96","18,01","612,67","13,51","358,01",0,"1444,83",0,"658,61","140,58","1223,92","61,36","6602,86","233,46","3,535740573"
64,2,2,"1758,24","78,11","613,35","104,66","632,75",0,"313,28",0,"1381,25","14,49","540,43",0,"1419,23","138,61","6658,53","335,87","5,044206454"
65,1,1,"1770,81",0,"668,96","484,72","1341,03","34,51","450,84",0,"1555,54",0,"778,12","459,59","1268,28",0,"7833,58","978,82","12,4951810028"
66,1,2,"2313,06","152,81","524,28",0,"890,23",0,"489,15",0,"997,46","11,35","898,49","139,73","1415,38","52,56","7528,05","356,45","4,734957924"
67,2,1,"1611,45",0,"750,54",0,"1079,33","37,73","503,53",0,"1076,89","37,49","687,95","20,37","995,04","154,11","6704,73","249,7","3,7242364719"
68,2,2,"1865,82","82,97","713,49",0,"615,56","86,02","477,73",0,"1036,13",0,"722,68","283,02","1379,42","72,25","6810,83","524,26","7,6974465667"
